#wl	f0 ( W/m^2/um/sr)
315.25	766.374808804121
315.275	746.2462974740732
315.3	729.116947250061
315.325	736.0676343399597
315.35	755.6257317986656
315.375	765.1467630371475
315.4	771.5689069017291
315.425	792.1090913026678
315.45	809.1036082556819
315.475	784.3085629735745
315.5	716.5904108682668
315.525	655.450535878812
315.55	647.6649634927153
315.575	686.1162033974505
315.6	725.3099054663443
315.625	736.9184246870935
315.65	730.273660062461
315.675	722.7279522290755
315.7	710.760180667498
315.725	676.0772889143979
315.75	609.0304358590436
315.775	522.450631710062
315.8	447.07081076244236
315.825	408.6173329610932
315.85	407.3361871025848
315.875	422.4246655300498
315.9	429.4072826091385
315.925	414.21189466530205
315.95	383.9945557652199
315.975	363.98136604506607
316.0	374.3586924567282
316.025	411.97544668966054
316.05	456.1884711268472
316.075	486.4120441674972
316.1	493.49851363633275
316.125	480.5282642977488
316.15	458.1786006157922
316.175	439.58851332999234
316.2	434.3657621632361
316.225	445.47552016673325
316.25	472.2311527043581
316.275	510.44376689200766
316.3	549.2127481535017
316.325	581.371262554096
316.35	616.9216389634466
316.375	667.6228252153301
316.4	722.8862534426917
316.425	755.9207944709874
316.45	748.4373581090105
316.475	706.9316890443599
316.5	657.1963649842571
316.525	620.9464360802007
316.55	604.3901971921993
316.575	609.7434656864834
316.6	639.3145120331526
316.625	679.0904268836617
316.65	695.9093888397896
316.675	669.221672468158
316.7	619.6270761388851
316.725	595.0103732338215
316.75	630.6325321751905
316.775	719.8984116976548
316.8	814.3547827075589
316.825	855.6977746714639
316.85	820.7564857843173
316.875	738.4726139137387
316.9	658.5364554410827
316.925	610.5349817451739
316.95	598.9686928324056
316.975	617.5585003811289
317.0	654.1837964797568
317.025	696.6808737256622
317.05	741.4627834708785
317.075	788.9019256988419
317.1	836.0857978536523
317.125	882.3634018046415
317.15	929.7063944030785
317.175	970.2889111332036
317.2	987.6156058742596
317.225	974.6402613246346
317.25	943.2581272087563
317.275	918.2620009215082
317.3	921.6833951730824
317.325	951.8289615317559
317.35	978.2298974466598
317.375	968.4831383684528
317.4	922.3346830314374
317.425	875.2848948518836
317.45	863.3662770909368
317.475	882.4138044315076
317.5	892.3615845711959
317.525	865.0135688110935
317.55	812.28297998281
317.575	767.1728787028957
317.6	756.1639759061801
317.625	788.7453328795159
317.65	851.3085400873518
317.675	911.6645618158972
317.7	951.0657588614773
317.725	982.8472276450395
317.75	1017.0887842065024
317.775	1027.2674972936654
317.8	980.1375244791806
317.825	882.6875771141662
317.85	778.2251407465088
317.875	706.1051459074151
317.9	674.1446953477764
317.925	659.239164968512
317.95	628.2356150235879
317.975	566.3031250083554
318.0	493.07257397452713
318.025	446.94581824218034
318.05	446.1584682678116
318.075	473.23024366461397
318.1	503.00463888486746
318.125	527.9373247993506
318.15	547.1523646958506
318.175	549.5380623925531
318.2	523.9392225922071
318.225	482.13760169095514
318.25	456.8993929356015
318.275	472.26211360438947
318.3	521.8542622342408
318.325	573.1780932659411
318.35	591.5039888639616
318.375	572.5972392072701
318.4	552.311395752765
318.425	567.3780347070228
318.45	609.808844237566
318.475	640.3067194631982
318.5	640.6668309964765
318.525	626.8446224094021
318.55	617.9006887602746
318.575	622.064615110277
318.6	647.0152141882825
318.625	695.4931500601816
318.65	748.6842360698605
318.675	772.660011379019
318.7	750.8567441422426
318.725	703.4385022701574
318.75	669.381542207526
318.775	672.830230805304
318.8	705.9088004513599
318.825	740.9146286783588
318.85	756.991118479718
318.875	751.1611580254162
