#  wvl   a     b     c     rmse
774.3369751 0.0001010 0.0000124 0.0000000 0.0000000
776.8319702 0.0001002 0.0000124 0.0000000 0.0000000
779.3350220 0.0001010 0.0000124 0.0000000 0.0000000
781.8419800 0.0001002 0.0000124 0.0000000 0.0000000
784.3519898 0.0000994 0.0000124 0.0000000 0.0000000
786.8549805 0.0000988 0.0000125 0.0000000 0.0000000
789.3670044 0.0000981 0.0000126 0.0000000 0.0000000
791.8670044 0.0000967 0.0000128 0.0000000 0.0000000
794.3800049 0.0000952 0.0000130 0.0000000 0.0000000
796.8800049 0.0001058 0.0000128 0.0000000 0.0000000
799.3930054 0.0001163 0.0000127 0.0000000 0.0000000
801.9000244 0.0001135 0.0000127 0.0000000 0.0000000
804.4099731 0.0001107 0.0000127 0.0000000 0.0000000
806.9149780 0.0001115 0.0000127 0.0000000 0.0000000
809.4249878 0.0001123 0.0000126 0.0000000 0.0000000
811.9299927 0.0001104 0.0000129 0.0000000 0.0000000
814.4400024 0.0001085 0.0000133 0.0000000 0.0000000
816.9450073 0.0001145 0.0000131 0.0000000 0.0000000
819.4550171 0.0001206 0.0000129 0.0000000 0.0000000
821.9600220 0.0001194 0.0000130 0.0000000 0.0000000
824.4600220 0.0001182 0.0000131 0.0000000 0.0000000
826.9849853 0.0001175 0.0000132 0.0000000 0.0000000
829.4899902 0.0001169 0.0000133 0.0000000 0.0000000
832.0050049 0.0001191 0.0000134 0.0000000 0.0000000
834.5050049 0.0001214 0.0000134 0.0000000 0.0000000
837.0200195 0.0001152 0.0000138 0.0000000 0.0000000
839.5150147 0.0001090 0.0000142 0.0000000 0.0000000
842.0300293 0.0001198 0.0000142 0.0000000 0.0000000
844.5399780 0.0001307 0.0000141 0.0000000 0.0000000
847.0599976 0.0001329 0.0000144 0.0000000 0.0000000
849.5700073 0.0001350 0.0000146 0.0000000 0.0000000
852.0869751 0.0001435 0.0000145 0.0000000 0.0000000
854.5850220 0.0001521 0.0000144 0.0000000 0.0000000
857.0999756 0.0001484 0.0000146 0.0000000 0.0000000
859.5949707 0.0001447 0.0000149 0.0000000 0.0000000
862.1119995 0.0001453 0.0000152 0.0000000 0.0000000
864.6069946 0.0001459 0.0000154 0.0000000 0.0000000
867.1149902 0.0001465 0.0000153 0.0000000 0.0000000
869.6149902 0.0001471 0.0000152 0.0000000 0.0000000
872.1300049 0.0001512 0.0000156 0.0000000 0.0000000
874.6350098 0.0001553 0.0000160 0.0000000 0.0000000
877.1480102 0.0001353 0.0000162 0.0000000 0.0000000
879.6350098 0.0001153 0.0000163 0.0000000 0.0000000
882.1350098 0.0001260 0.0000167 0.0000000 0.0000000
884.6380005 0.0001367 0.0000170 0.0000000 0.0000000
887.1300049 0.0001428 0.0000180 0.0000000 0.0000000
889.5949707 0.0001489 0.0000191 0.0000000 0.0000000
892.0900269 0.0001743 0.0000213 0.0000000 0.0000000
894.6019898 0.0001997 0.0000236 0.0000000 0.0000000
939.7150269 0.0000855 0.0000105 0.0000000 0.0000000
1038.3100586 0.0000070 0.0000033 0.0000000 0.0000000
1248.5500488 0.0000040 0.0000030 0.0000000 0.0000000
1378.1700440 0.0001250 0.0000217 0.0000000 0.0000000
1618.0300293 0.0000004 0.0000012 0.0000000 0.0000000
2130.5900879 0.0000037 0.0000034 0.0000000 0.0000000
2258.4299316 0.0000022 0.0000027 0.0000000 0.0000000
