#wavlengths (nm), Water Real, Water Imaginary, Ice Real, Ice Imaginary
1130,1.326472222,3.77E-06,1.2993,2.04E-06
1135,1.326405556,4.68E-06,1.2992,2.15E-06
1140,1.326311111,5.84E-06,1.2991,2.25E-06
1145,1.326200000,7.35E-06,1.2990,2.24E-06
1150,1.326088889,9.06E-06,1.2989,2.29E-06
1155,1.325977778,1.03E-05,1.2988,2.62E-06
1160,1.325866667,1.08E-05,1.2987,3.04E-06
1165,1.325755556,1.10E-05,1.2986,3.42E-06
1170,1.325644444,1.13E-05,1.2986,3.84E-06
1175,1.325561111,1.15E-05,1.2985,4.29E-06
1180,1.325505556,1.16E-05,1.2984,4.77E-06
1185,1.325450000,1.17E-05,1.2983,5.26E-06
1190,1.325394444,1.18E-05,1.2982,5.76E-06
1195,1.325338889,1.19E-05,1.2981,6.22E-06
1200,1.325283333,1.20E-05,1.2980,6.71E-06
1205,1.325227778,1.20E-05,1.2979,7.61E-06
1210,1.325161111,1.20E-05,1.2978,8.66E-06
1215,1.325066667,1.19E-05,1.2977,9.50E-06
1220,1.324955556,1.18E-05,1.2976,1.02E-05
1225,1.324855556,1.17E-05,1.2975,1.08E-05
1230,1.324783333,1.16E-05,1.2974,1.13E-05
1235,1.324727778,1.15E-05,1.2973,1.18E-05
1240,1.324672222,1.13E-05,1.2972,1.22E-05
1245,1.324616667,1.12E-05,1.2971,1.26E-05
1250,1.324561111,1.10E-05,1.2971,1.29E-05
1255,1.324505556,1.09E-05,1.2970,1.31E-05
1260,1.324450000,1.08E-05,1.2969,1.32E-05
1265,1.324394444,1.08E-05,1.2968,1.34E-05
1270,1.324338889,1.08E-05,1.2967,1.35E-05
1275,1.324277778,1.10E-05,1.2966,1.35E-05
1280,1.324194444,1.13E-05,1.2965,1.33E-05
1285,1.324088889,1.18E-05,1.2964,1.32E-05
1290,1.323977778,1.24E-05,1.2963,1.32E-05
1295,1.323866667,1.32E-05,1.2962,1.32E-05
1300,1.323766667,1.40E-05,1.2961,1.32E-05
1305,1.323694444,1.50E-05,1.2959,1.32E-05
1310,1.323638889,1.61E-05,1.2958,1.31E-05
1315,1.323583333,1.73E-05,1.2957,1.31E-05
1320,1.323527778,1.87E-05,1.2956,1.32E-05
1325,1.323472222,2.03E-05,1.2955,1.32E-05
1330,1.323405556,2.23E-05,1.2954,1.32E-05
1335,1.323322222,2.49E-05,1.2953,1.33E-05
1340,1.323222222,2.89E-05,1.2952,1.34E-05
1345,1.323111111,3.44E-05,1.2951,1.36E-05
1350,1.323000000,4.02E-05,1.2950,1.39E-05
1355,1.322888889,4.50E-05,1.2949,1.41E-05
1360,1.322777778,4.93E-05,1.2948,1.42E-05
1365,1.322666667,5.39E-05,1.2946,1.45E-05
1370,1.322566667,5.96E-05,1.2945,1.48E-05
1375,1.322466667,6.73E-05,1.2944,1.52E-05
1380,1.322361111,7.71E-05,1.2943,1.58E-05
1385,1.322250000,8.94E-05,1.2942,1.65E-05
1390,1.322138889,1.05E-04,1.2941,1.74E-05
1395,1.322027778,1.30E-04,1.2939,1.85E-05
1400,1.321916667,1.67E-04,1.2938,1.98E-05
1405,1.321805556,2.12E-04,1.2937,2.13E-05
1410,1.321694444,2.53E-04,1.2936,2.50E-05
1415,1.321583333,2.89E-04,1.2934,3.60E-05
1420,1.321483333,3.20E-04,1.2933,5.40E-05
1425,1.321400000,3.42E-04,1.2931,7.50E-05
1430,1.321327778,3.55E-04,1.2930,1.04E-04
1435,1.321255556,3.61E-04,1.2928,1.46E-04
1440,1.321161111,3.64E-04,1.2927,2.03E-04
1445,1.321055556,3.63E-04,1.2926,2.47E-04
1450,1.320944444,3.62E-04,1.2925,2.78E-04
1455,1.320838889,3.60E-04,1.2924,3.15E-04
1460,1.320744444,3.55E-04,1.2923,3.51E-04
1465,1.320672222,3.48E-04,1.2922,3.85E-04
1470,1.320611111,3.36E-04,1.2921,4.22E-04
1475,1.320544444,3.20E-04,1.2920,4.63E-04
1480,1.320466667,3.03E-04,1.2919,5.09E-04
1485,1.320372222,2.85E-04,1.2918,5.50E-04
1490,1.320266667,2.67E-04,1.2917,5.76E-04
1495,1.320155556,2.49E-04,1.2916,5.90E-04
1500,1.320044444,2.32E-04,1.2916,5.94E-04
1505,1.319933333,2.16E-04,1.2915,5.88E-04
1510,1.319822222,2.01E-04,1.2914,5.75E-04
1515,1.319711111,1.88E-04,1.2913,5.64E-04
1520,1.319600000,1.78E-04,1.2912,5.57E-04
1525,1.319488889,1.69E-04,1.2911,5.51E-04
1530,1.319388889,1.61E-04,1.2910,5.44E-04
1535,1.319283333,1.53E-04,1.2909,5.36E-04
1540,1.319177778,1.46E-04,1.2908,5.19E-04
1545,1.319066667,1.39E-04,1.2907,5.01E-04
1550,1.318955556,1.33E-04,1.2906,4.83E-04
1555,1.318850000,1.27E-04,1.2904,4.66E-04
1560,1.318744444,1.22E-04,1.2903,4.49E-04
1565,1.318650000,1.18E-04,1.2902,4.33E-04
1570,1.318555556,1.14E-04,1.2901,4.18E-04
1575,1.318466667,1.10E-04,1.2899,4.03E-04
1580,1.318377778,1.07E-04,1.2898,3.89E-04
1585,1.318288889,1.04E-04,1.2897,3.75E-04
1590,1.318188889,1.00E-04,1.2895,3.64E-04
1595,1.318077778,9.72E-05,1.2894,3.58E-04
1600,1.317955556,9.42E-05,1.2893,3.55E-04
1605,1.317822222,9.14E-05,1.2891,3.51E-04
1610,1.317683333,8.88E-05,1.2890,3.44E-04
1615,1.317544444,8.63E-05,1.2889,3.32E-04
1620,1.317411111,8.43E-05,1.2887,3.18E-04
1625,1.317283333,8.27E-05,1.2886,3.03E-04
1630,1.317150000,8.14E-05,1.2884,2.90E-04
1635,1.317011111,8.02E-05,1.2883,2.76E-04
1640,1.316861111,7.91E-05,1.2881,2.63E-04
1645,1.316700000,7.80E-05,1.2880,2.52E-04
1650,1.316527778,7.71E-05,1.2878,2.41E-04
1655,1.316344444,7.63E-05,1.2877,2.31E-04
1660,1.316161111,7.56E-05,1.2875,2.22E-04
1665,1.315983333,7.51E-05,1.2874,2.13E-04
1670,1.315805556,7.47E-05,1.2872,2.04E-04
1675,1.315622222,7.45E-05,1.2871,1.96E-04
1680,1.315444444,7.46E-05,1.2869,1.89E-04
1685,1.315272222,7.50E-05,1.2867,1.82E-04
1690,1.315111111,7.55E-05,1.2866,1.76E-04
1695,1.314961111,7.62E-05,1.2864,1.71E-04
1700,1.314827778,7.71E-05,1.2862,1.66E-04
1705,1.314705556,7.82E-05,1.2861,1.62E-04
1710,1.314588889,7.95E-05,1.2859,1.58E-04
1715,1.314477778,8.12E-05,1.2857,1.55E-04
1720,1.314372222,8.33E-05,1.2856,1.51E-04
1725,1.314266667,8.60E-05,1.2854,1.48E-04
1730,1.314161111,8.90E-05,1.2852,1.45E-04
1735,1.314050000,9.23E-05,1.2850,1.42E-04
1740,1.313938889,9.57E-05,1.2849,1.39E-04
1745,1.313827778,9.92E-05,1.2847,1.36E-04
1750,1.313705556,1.03E-04,1.2845,1.34E-04
1755,1.313572222,1.06E-04,1.2843,1.31E-04
1760,1.313444444,1.10E-04,1.2841,1.28E-04
1765,1.313327778,1.14E-04,1.2839,1.25E-04
1770,1.313216667,1.18E-04,1.2838,1.22E-04
1775,1.313105556,1.22E-04,1.2836,1.19E-04
1780,1.312988889,1.26E-04,1.2834,1.16E-04
1785,1.312861111,1.30E-04,1.2832,1.12E-04
1790,1.312722222,1.33E-04,1.2830,1.09E-04
1795,1.312572222,1.34E-04,1.2828,1.06E-04
1800,1.312416667,1.36E-04,1.2826,1.03E-04
1805,1.312261111,1.37E-04,1.2824,1.00E-04
1810,1.312100000,1.37E-04,1.2822,9.70E-05
1815,1.311944444,1.37E-04,1.2820,9.41E-05
1820,1.311788889,1.37E-04,1.2818,9.12E-05
1825,1.311638889,1.38E-04,1.2816,8.85E-05
1830,1.311488889,1.40E-04,1.2814,8.60E-05
1835,1.311344444,1.42E-04,1.2812,8.39E-05
1840,1.311216667,1.45E-04,1.2809,8.22E-05
1845,1.311094444,1.50E-04,1.2807,8.09E-05
1850,1.310972222,1.56E-04,1.2805,8.03E-05
1855,1.310844444,1.68E-04,1.2802,8.50E-05
1860,1.310711111,2.02E-04,1.2800,9.90E-05
1865,1.310577778,2.62E-04,1.2797,1.22E-04
1870,1.310438889,3.56E-04,1.2795,1.50E-04
1875,1.310305556,4.87E-04,1.2792,1.79E-04
1880,1.310172222,6.48E-04,1.2790,2.12E-04
1885,1.310038889,8.13E-04,1.2787,2.51E-04
1890,1.309894444,9.49E-04,1.2785,2.95E-04
1895,1.309738889,1.10E-03,1.2782,3.45E-04
1900,1.309577778,1.25E-03,1.2780,4.03E-04
1905,1.309405556,1.42E-03,1.2777,4.69E-04
1910,1.309222222,1.57E-03,1.2775,5.46E-04
1915,1.309027778,1.71E-03,1.2773,6.32E-04
1920,1.308833333,1.82E-03,1.2770,7.18E-04
1925,1.308633333,1.89E-03,1.2768,7.88E-04
1930,1.308427778,1.91E-03,1.2766,8.52E-04
1935,1.308222222,1.92E-03,1.2764,9.16E-04
1940,1.308011111,1.91E-03,1.2762,9.82E-04
1945,1.307788889,1.89E-03,1.2760,1.05E-03
1950,1.307555556,1.85E-03,1.2758,1.13E-03
